1, 99.9, Tudor Magda 
2, 99.8, Nolan Pedrick 
3, 99.8, Mario Marquez 
4, 99.7, Mason Martinec 
5, 99.6, Kayleb Quintero 
6, 99.5, Christian Gallaher 
7, 99.5, Rees Cooksy 
8, 99.4, Tuteari Te Rauna-Lamont
9, 99.3, Cole Martinez 
10, 99.2, Daniel Kuc 
11, 99.2, Otis Oliver-Purchase 
12, 99.1, David Garcia Vargas
13, 99.0, Stefano Zucchiatti 
14, 98.9, Juan Rodriguez 
15, 98.8, Braden Groeneveld 
16, 98.8, Anthony Ray 
17, 98.7, Amato Mazzocca 
18, 98.6, Gustavo Dominguez Guillen
19, 98.5, Brynjar Ari Magn\u00fasson
20, 98.5, Urh Petri\u010d 
21, 98.4, Ethan Gush 
22, 98.3, Kitini Taihuka 
23, 98.2, Omer Lamdan 
24, 98.2, Jack Laker 
25, 98.1, Michael Gilmore II
26, 98.0, David Bradley 
27, 97.9, Nathan Petty 
28, 97.9, Morgan Adams 
29, 97.8, Christopher Black 
30, 97.7, Azariah Price 
31, 97.6, Ariel Treigerman 
32, 97.5, Eric Fong 
33, 97.5, Ram\u00f3n Ibarra 
34, 97.4, Lucas Carlisle 
35, 97.3, Eylon Bar-gil 
36, 97.2, Hiko o te
37, 97.2, Gabriel Seele 
38, 97.1, Erik Gibson 
39, 97.0, Diego Romero 
40, 96.9, Mateo Crespo Soto
41, 96.9, Kyle Southmayd 
42, 96.8, Manunui Tito 
43, 96.7, Ben Christian 
44, 96.6, Drew Nelson 
45, 96.5, Will Bailey 
46, 96.5, Wyatt Kelley 
47, 96.4, Daniel Harding 
48, 96.3, Nathan Kassis 
49, 96.2, Lars Culler 
50, 96.2, Matteo Ray 
51, 96.1, Luca Ficarra 
52, 96.0, Clay Calhoun 
53, 95.9, John Lovett 
54, 95.9, Ty Bentley 
55, 95.8, Martin Vasquez 
56, 95.7, Noah Pim 
57, 95.6, Ahmed Mustafa 
58, 95.5, Christian Sells 
59, 95.5, Jo Neel 
60, 95.4, Zach Lammers 
61, 95.3, Gabe Thomas 
62, 95.2, Will Campbell 
63, 95.2, Osman Rubio 
64, 95.1, Luca Delteil 
65, 95.0, Robbie Adams 
66, 94.9, Richard Jaure 
67, 94.9, Beau Wright 
68, 94.8, Tye Ramirez 
69, 94.7, Michael Judson 
70, 94.6, Gerardo Garc\u00eda 
71, 94.6, Jabez Teitinga 
72, 94.5, Tomas del Pino
73, 94.4, Donavon Vogt 
74, 94.3, Javier Rodr\u00edguez Porras
75, 94.2, Dylan Morrissey 
76, 94.2, Ian Sielfeld 
77, 94.1, Gustav Wang 
78, 94.0, Stephen Tamacheepjaroen 
79, 93.9, Ricardo Fourie 
80, 93.9, Zak Streeter 
