1, 100.0, Stuart Swanson 
2, 99.9, Brig Edwards 
3, 99.9, Shannon Aiken 
4, 99.9, Curtis Dunn 
5, 99.8, Richard Cossette 
6, 99.8, Gus VanDerVoort 
7, 99.8, Gary Haugen 
8, 99.8, Bubba Hagood 
9, 99.7, John Busch 
10, 99.7, Brian Keegan 
11, 99.7, Ken Idler 
12, 99.6, Robert Boshoven 
13, 99.6, Paul Perna 
14, 99.6, Eric Jarvis 
15, 99.5, Dominic Sestito 
16, 99.5, Dennis Cole 
17, 99.5, Luc Cyr 
18, 99.5, Rolando Gonzalez 
19, 99.4, John Gary 
20, 99.4, Ronnie Clay 
21, 99.4, Will Powell 
22, 99.3, Gavin Tullos 
23, 99.3, Jay Gondek 
24, 99.3, Vincent Lopez 
25, 99.2, Chris McBroom 
26, 99.2, Neale Currie 
27, 99.2, Steve Parsoneault 
28, 99.2, Brian O'Regan 
29, 99.1, eric cohen 
30, 99.1, John Lester 
31, 99.1, Keith Williams 
32, 99.0, Jeffrey Christy 
33, 99.0, Kent Ohlhausen 
34, 99.0, Lee James 
35, 98.9, Chris Flury 
36, 98.9, Carl Giuffre 
37, 98.9, Jon Schatz 
38, 98.8, Tom Fameree 
39, 98.8, Christian Galy 
40, 98.8, Rick Stover 
41, 98.8, Lance Lollar 
42, 98.7, Dermot Cleary 
43, 98.7, Jim Duwve 
44, 98.7, Jeff Smith 
45, 98.6, Bob Queale 
46, 98.6, keith strattan 
47, 98.6, John Becher 
48, 98.5, DeWayne Sapp 
49, 98.5, Ken Wellner 
50, 98.5, sean mcgraw 
51, 98.5, David Blois 
52, 98.4, Rob Wanders 
53, 98.4, Kenneth Barnes 
54, 98.4, John Rooney 
55, 98.3, John Stimpel 
56, 98.3, Jim Connolly 
57, 98.3, Scot Bartholomew 
58, 98.2, Kevin Kick 
59, 98.2, Nick Maiorana 
60, 98.2, Chet Nelson 
61, 98.1, Jay Richards 
62, 98.1, Brian Wilson 
63, 98.1, Frank Tobin 
64, 98.1, Jim Jacobson 
65, 98.0, Mattman Anderson 
66, 98.0, William Bailey 
67, 98.0, Gerald Wilson 
68, 97.9, Stephen Ridyard 
69, 97.9, alain kryksztein 
70, 97.9, Ian Brooks 
71, 97.8, Alan Boyce 
72, 97.8, Rob Sauritch 
73, 97.8, David Gantz 
74, 97.8, Rick Rehder 
75, 97.7, Keith Mckee 
76, 97.7, Lu\u00eds Romeu 
77, 97.7, Karl Backs 
78, 97.6, Michael Hyland 
79, 97.6, Kent Neuerburg 
80, 97.6, Marco Arredondo 
81, 97.5, Paul Sims 
82, 97.5, Rod Kubly 
83, 97.5, Mike Shanks 
84, 97.5, Mark Bertz 
85, 97.4, Jeffrey Magnell 
86, 97.4, Christian Vezeau 
87, 97.4, Mitchell Taylor 
88, 97.3, Shane Humphries 
89, 97.3, Per-Martin Appel 
90, 97.3, Jeff Stokoe 
91, 97.2, Gerardo Schiatti 
92, 97.2, Robby Johnson 
93, 97.2, Jeffrey Bennett 
94, 97.1, Tim LaFromboise 
95, 97.1, Alex Goldstein 
96, 97.1, Chris Shumway 
97, 97.1, Tod Pentecost 
98, 97.0, Jay Wade 
99, 97.0, Timothy Vivian 
100, 97.0, Rick Kwant 
101, 96.9, Kent Kitagawa 
102, 96.9, John Crowe 
103, 96.9, Paul Smail 
104, 96.8, Jeff Holdman 
105, 96.8, Michael Krause-Burkhardt 
106, 96.8, Fred Magalona 
107, 96.8, Mark A Anderson
108, 96.7, Tim Vienna 
109, 96.7, Gudmundur Helgi Olafsson
110, 96.7, James Connolly 
111, 96.6, Eric Meyer 
112, 96.6, Sidney Harrell 
113, 96.6, Kelly Smith 
114, 96.5, James Kean 
115, 96.5, David Hoffman 
116, 96.5, Nick Scher 
117, 96.4, Michael Hodge 
118, 96.4, Robert Miller 
119, 96.4, David Heston 
120, 96.4, Tim Haines 
121, 96.3, David Carbon 
122, 96.3, Tom Richardson 
123, 96.3, John Vincent 
124, 96.2, Miikka Lintusaari 
125, 96.2, John Powderly 
126, 96.2, Colin Coffey 
127, 96.1, Mike Goins 
128, 96.1, Robert Quirk 
129, 96.1, Doug Miller 
130, 96.1, Dee Grimes 
131, 96.0, Vince Baxivanos 
132, 96.0, Peter Daly 
133, 96.0, Tristan Costa 
134, 95.9, Ed Powell 
135, 95.9, Brian Schoepf 
136, 95.9, Mark Woiwod 
137, 95.8, Matt Arnaiz 
138, 95.8, James Ayers 
139, 95.8, Terry Himes 
140, 95.8, Randy Hestand 
141, 95.7, Alex Manolaros 
142, 95.7, Paul Eisenhart 
143, 95.7, Scott Popp 
144, 95.6, Chris Rangel 
145, 95.6, Tony Dunckley 
146, 95.6, Doug Fields 
147, 95.5, Christopher Rode 
148, 95.5, Joe Romano 
149, 95.5, Corcuera Francis 
150, 95.4, Hank Porcher 
151, 95.4, Thomas Johnson 
152, 95.4, Marc Fineman 
153, 95.4, Joey Lochner 
154, 95.3, Glen Mitchell 
155, 95.3, Buzzy Marable 
156, 95.3, Ron Brown 
157, 95.2, Gene Whitted 
158, 95.2, Steve Gillis 
159, 95.2, Robert Espinoza 
160, 95.1, Dennis Boyd 
161, 95.1, John Kenney sr
162, 95.1, Ed Farina 
163, 95.1, Colm McCoy 
164, 95.0, Dennis Tharp 
165, 95.0, Alan Asmussen 
166, 95.0, Craig Howard 
167, 94.9, Brett Chapman 
168, 94.9, Steve Odorizzi 
169, 94.9, Michael Bryan Sr
170, 94.8, Tony Barrett 
171, 94.8, Tony Gaunce 
172, 94.8, jan matheij 
173, 94.7, Bob Snell 
174, 94.7, Brian McIntyre 
175, 94.7, Jerry Todd 
176, 94.7, Skryabin Alexandr 
177, 94.6, Noah N\u7aefvit Ismen
178, 94.6, Dean Laraway 
179, 94.6, Mark Foley 
180, 94.5, Don Brogan 
181, 94.5, Gianni Campanella 
182, 94.5, Jon Crockett 
183, 94.4, Erick Bruder 
184, 94.4, Aldo Neto 
185, 94.4, Peter Krantz 
186, 94.4, Jon Deeter 
187, 94.3, Rawlen Scully 
188, 94.3, Darryl Thomson 
189, 94.3, Prim Parker 
190, 94.2, Carlos Perez 
191, 94.2, Mike Coote 
192, 94.2, Tony Brown 
193, 94.1, Michael Day 
194, 94.1, Robert Powers 
195, 94.1, Joseph Babiarz 
196, 94.1, Jay R Phillips
197, 94.0, Igor Dubinnikov 
198, 94.0, Ronnie Shaw 
199, 94.0, David Lamb 
200, 93.9, Paul Harvey 
201, 93.9, Paul Flores 
202, 93.9, Mark Mercado 
203, 93.8, Martin Mau 
204, 93.8, John Vernasco 
205, 93.8, Robert Quignon 
206, 93.7, Andy Cooling 
207, 93.7, Michael Russo 
208, 93.7, Bradley Russell 
209, 93.7, Michael Senft 
210, 93.6, Bob White 
211, 93.6, Sylvain Larose 
212, 93.6, Clair Crandall 
213, 93.5, Rick Kazaks 
214, 93.5, Daryll Porfilio 
215, 93.5, Nicholas Lacetera 
216, 93.4, Mark McEwen 
217, 93.4, John Busuttil 
218, 93.4, Chris Ludlow 
219, 93.4, Jeff Tooley 
220, 93.3, Roland Ricker 
221, 93.3, Chris Walrath 
222, 93.3, Douglas Perreault 
223, 93.2, Gary Griffin 
224, 93.2, Pascal Robertson 
225, 93.2, Guy Goosen 
226, 93.1, Scott Beutler 
227, 93.1, Marty Legg 
228, 93.1, Charlie Hadsell 
229, 93.1, Brad Cosens 
230, 93.0, Matthew Giuffre 
231, 93.0, William Lee 
232, 93.0, Michael Thompson 
233, 92.9, Steve Barnett 
234, 92.9, Jeff Zwally 
235, 92.9, Bobby Forrest 
236, 92.8, Michael Tranchina 
237, 92.8, Bernie Rodriguez 
238, 92.8, Landon Barretto 
239, 92.7, Jason Frampton 
240, 92.7, Don Clark 
241, 92.7, Curt Van Aken
242, 92.7, Lars Boss Thomsen
243, 92.6, David Brody 
244, 92.6, Ken Timmons 
245, 92.6, Ross Mackay 
246, 92.5, Serge Thibault 
247, 92.5, Kyle Johnston 
248, 92.5, Ken Bernstein 
249, 92.4, Wade Trammell 
250, 92.4, Alben Puhlick 
251, 92.4, Brad Castillo 
252, 92.4, Paul Miller 
253, 92.3, Todd Seabaugh 
254, 92.3, Howard Roberts 
255, 92.3, Jyrki Rantanen 
256, 92.2, Rod Tover 
257, 92.2, Carl Mathias 
258, 92.2, Tom Schmunk 
259, 92.1, Jay Jones 
260, 92.1, daniel baldini 
261, 92.1, Shawn Zenker 
262, 92.0, David Brown 
263, 92.0, Scott Takara 
264, 92.0, Brian Dickie 
265, 92.0, Bill Koster 
266, 91.9, Jeff Cole 
267, 91.9, Mark Cavanaugh 
268, 91.9, Dean Foderaro Sr
269, 91.8, Stephen LaPorta 
270, 91.8, Manuel Barreda 
271, 91.8, Tim Keller 
272, 91.7, Fred Desantis 
273, 91.7, Michael Dugan 
274, 91.7, William Wilson Jr
275, 91.7, Richard Doria 
276, 91.6, Marty Orchard 
277, 91.6, Kevin Macy 
278, 91.6, Chris Lundquist 
279, 91.5, Tim Bilodeau 
280, 91.5, Lewis Sill 
281, 91.5, J\u0e23\u0e16rgen Karlsson 
282, 91.4, Sheldon Levy 
283, 91.4, Christopher Ehly 
284, 91.4, Michael Machowek 
285, 91.4, Scott McGuire 
286, 91.3, Russ Malz 
287, 91.3, Bruce McLaughlan 
288, 91.3, Dan Woods 
289, 91.2, Charles Butler 
290, 91.2, Mark Macliston 
291, 91.2, Todd Roadman 
292, 91.1, Randall Smith 
293, 91.1, Jim Wendell 
294, 91.1, James Sheridan 
295, 91.0, David Tompkins 
296, 91.0, Brad Martin 
297, 91.0, Mark Connot 
298, 91.0, mark kline 
299, 90.9, Robert Livingston 
300, 90.9, Detlef Martach 
301, 90.9, Stephen Woomer 
302, 90.8, DARREL TILLMANNSHOFER 
303, 90.8, Drew Sonier 
304, 90.8, Craig Ellingson 
305, 90.7, Jan Tordby 
306, 90.7, Robert Roman 
307, 90.7, Gianluca Fior 
308, 90.7, Mark Fricke 
309, 90.6, Eric Hayler 
310, 90.6, Paul Wieck 
311, 90.6, Robert Daffron 
312, 90.5, Mark Tilley 
313, 90.5, Russ Berger 
314, 90.5, Gary Hall 
315, 90.4, Thomas Patterson Jr
316, 90.4, Tommy Ray 
317, 90.4, Steve Arcona 
318, 90.3, Martin Batterman 
319, 90.3, John Olson 
320, 90.3, Mark Nordquist 
321, 90.3, David Mark Jones
322, 90.2, Darrell Siemens 
323, 90.2, Robert Wong 
324, 90.2, Jay Doolittle 
325, 90.1, Tom de Nolf
326, 90.1, Daryl Townsend 
327, 90.1, Ron Lebsock 
328, 90.0, Collet Laurent 
329, 90.0, Kent Pilcher 
330, 90.0, Lonnie Niepoetter 
331, 90.0, Mike Gershom 
332, 89.9, Peter Anderson 
333, 89.9, Michael DeMeritt 
334, 89.9, Gary Barney 
335, 89.8, Mark Young 
336, 89.8, Lyle McCuistion 
337, 89.8, Raul Benavides 
338, 89.7, Jeff Paris 
339, 89.7, Jean claude Boivin
340, 89.7, Randall Lindemann 
341, 89.7, Robert Moses 
342, 89.6, Hans-\u00c5ke Henriksson 
343, 89.6, Bruce Collingwood 
344, 89.6, Dean Wood 
345, 89.5, Jack Kelly 
346, 89.5, David Hebert 
347, 89.5, Jim Arconti 
348, 89.4, Greg Tysor 
