1, 100.0, Christian Biagi 
2, 100.0, Cliff Musgrave 
3, 99.9, Jeff Dempsey 
4, 99.9, Patrick Murray 
5, 99.9, Craig Eisman 
6, 99.9, Leonardo Wernersbach Lima
7, 99.9, Matt Beals 
8, 99.9, Marco Casali 
9, 99.8, Ocey Leavitt 
10, 99.8, Arthur Erickson 
11, 99.8, Christopher Stamper 
12, 99.8, Steve King 
13, 99.8, Chris Podesto 
14, 99.8, Ron Ortiz 
15, 99.7, Joe Ames 
16, 99.7, Brian Montgomery 
17, 99.7, Dion Walmsley 
18, 99.7, Andrea Zucchiatti 
19, 99.7, Jay Bradley 
20, 99.7, Bill Cileo 
21, 99.6, Joe Lopez 
22, 99.6, Jeff Ernsberger 
23, 99.6, Jody Hendrix 
24, 99.6, Glenn Waters 
25, 99.6, John Kim 
26, 99.6, Mike Egan 
27, 99.5, Paul Bankston 
28, 99.5, Frank Wray 
29, 99.5, Lonnie Ataman 
30, 99.5, Dennis Cheatham 
31, 99.5, Kevin Lynn 
32, 99.4, Troy Boot 
33, 99.4, Duncan Stephens 
34, 99.4, James English 
35, 99.4, Pat Crosby 
36, 99.4, David Casalena 
37, 99.4, Frank Colavita 
38, 99.3, Mike Cook 
39, 99.3, Anders Amr\u00e9n 
40, 99.3, Kevin Trowbridge 
41, 99.3, Kevin Unger 
42, 99.3, Frank Shirvinski 
43, 99.3, Tony Leonardi 
44, 99.2, Glenn Getchell 
45, 99.2, Kevin Hutcheson 
46, 99.2, Shawn Rueffert 
47, 99.2, Charles Haines 
48, 99.2, Pierre Cleroux 
49, 99.2, Abe Cook 
50, 99.1, James Freid 
51, 99.1, Bruce Briggs 
52, 99.1, Jody Clements 
53, 99.1, Mark Herbick 
54, 99.1, Scott Farquhar 
55, 99.1, Fons Werbata 
56, 99.0, Dean Banks 
57, 99.0, Charles Cremeans 
58, 99.0, Johan H\u00e4ver\u00f6 
59, 99.0, Walter Schreiber 
60, 99.0, Lenny Phillips 
61, 98.9, Sean Marsh 
62, 98.9, Michael Allard 
63, 98.9, John Durocher 
64, 98.9, Kelvin Minefee 
65, 98.9, Brett Prager 
66, 98.9, Rich Kline 
67, 98.8, Jim Garvin 
68, 98.8, Michael Giorgio 
69, 98.8, Rodney Dilling 
70, 98.8, Perry Siplon 
71, 98.8, Mark Sewell 
72, 98.8, James Beers 
73, 98.7, Richard Osborne 
74, 98.7, Alejandro Cura 
75, 98.7, John Donjoian 
76, 98.7, Richard Alm 
77, 98.7, Adam Henby 
78, 98.7, John Mclaughlin 
79, 98.6, William Strahan 
80, 98.6, Wiley Perkins 
81, 98.6, Paul McCrary 
82, 98.6, Michael Fournier 
83, 98.6, Patrick Sprague 
84, 98.6, Jeffrey Waline 
85, 98.5, David Lewis 
86, 98.5, Rob Lowe 
87, 98.5, Chris Roe 
88, 98.5, Paul Saevre 
89, 98.5, Ken Cutrer 
90, 98.4, Wes Taylor 
91, 98.4, Armando Dominguez 
92, 98.4, Mark McClain 
93, 98.4, Dutch Steutel 
94, 98.4, Greg Burt 
95, 98.4, Jeff Tysinger 
96, 98.3, John Borla 
97, 98.3, Mark Chisholm 
98, 98.3, Greg Smiley 
99, 98.3, Tim Fulton 
100, 98.3, Bruce Young 
101, 98.3, Kenneth Sanders 
102, 98.2, David Cerrone 
103, 98.2, Matt Armistead 
104, 98.2, Karl Swedberg 
105, 98.2, Tim Whittaker 
106, 98.2, Roger Davis 
107, 98.2, Gregory Hadley 
108, 98.1, Steve Umscheid 
109, 98.1, Todd Sullivan 
110, 98.1, Scott Schramm 
111, 98.1, Uwe Kaufmann 
112, 98.1, Liemerson Caporalli 
113, 98.1, Doug Fiscella 
114, 98.0, Drew Griffith 
115, 98.0, Mike Fry 
116, 98.0, L\u00e1szl\u00f3 G\u00e1sp\u00e1r 
117, 98.0, James Lawson 
118, 98.0, Pete O'Donnell 
119, 97.9, Charlie Pokorny 
120, 97.9, Adrian Schuller 
121, 97.9, kirk williams 
122, 97.9, Tom Burbank 
123, 97.9, Scott MacPherson 
124, 97.9, luis sierra 
125, 97.8, Paul Dick 
126, 97.8, Rich Roe 
127, 97.8, Brad Pence 
128, 97.8, Mike Duplaga 
129, 97.8, Simon Bennett 
130, 97.8, Rob McCandless 
131, 97.7, Gary Berg 
132, 97.7, Tony Quick 
133, 97.7, Kurt Duncan 
134, 97.7, Mike Springer 
135, 97.7, Steve Bottorff 
136, 97.7, Rich Holton 
137, 97.6, Charles Choi 
138, 97.6, Eric Dutcyvich 
139, 97.6, stefan korn 
140, 97.6, Chris Snyder 
141, 97.6, Franklin Winters 
142, 97.6, Mark Tilkes 
143, 97.5, Cledilson Alves 
144, 97.5, Felipe Salazar 
145, 97.5, David Mayhew 
146, 97.5, Kevin Pence 
147, 97.5, Richard Viehmann 
148, 97.4, Bert Callicoatt 
149, 97.4, Magnus Nirell 
150, 97.4, Allan Lidforsen 
151, 97.4, Tony DePrizio 
152, 97.4, Scott Livingstone 
153, 97.4, Sylvain Roy 
154, 97.3, Chris Holladay 
155, 97.3, Ben Blackmun 
156, 97.3, Darin DeCesare 
157, 97.3, Freddy Camacho 
158, 97.3, Rune Stensdal 
159, 97.3, Vadim Darchinov 
160, 97.2, Tom Ring 
161, 97.2, Bill Gruss 
162, 97.2, Jason Sawyer 
163, 97.2, John Orrett 
164, 97.2, David Maunder 
165, 97.2, John Badaracco 
166, 97.1, Ben Poore 
167, 97.1, Glen Ringwall 
168, 97.1, Mark Ziolkowski 
169, 97.1, Tim Geyer 
170, 97.1, john carvalho 
171, 97.1, Tim Wait 
172, 97.0, troy barron 
173, 97.0, Mark Bradigan 
174, 97.0, Jay Sanderson 
175, 97.0, Mark Manroe 
176, 97.0, Tyrone Hollie 
177, 96.9, Greg Shiffer 
178, 96.9, Jon Fohs 
179, 96.9, Bob Pierce 
180, 96.9, Raul Casti\u5358eira 
181, 96.9, Sanat Nurgaliyev 
182, 96.9, Per Axelsson 
183, 96.8, David Talancon 
184, 96.8, Jamison Kirby 
