1, 100.0, David Hippensteel 
2, 99.9, Rodrigo Dominguez 
3, 99.9, Matt Bell 
4, 99.8, Tom Bourdon 
5, 99.8, Cal Cherrington 
6, 99.7, Peter de Sury
7, 99.7, Del Lafountain 
8, 99.6, Tom Muhlbeier 
9, 99.6, David Hardie 
10, 99.5, Doug Prohaska 
11, 99.5, Harlan Karnofsky 
12, 99.4, James Kelleher 
13, 99.4, Steve Marino 
14, 99.3, Brown Russell 
15, 99.2, John Mariotti 
16, 99.2, Bill Steitz 
17, 99.2, Michael Brown 
18, 99.1, Michael Bridges 
19, 99.1, Scott Olson 
20, 99.0, Kirby Doyle 
21, 99.0, Robert Patterson 
22, 98.9, Andy Sigler 
23, 98.9, Armando Garcia-Besne 
24, 98.8, Mark McAdoo 
25, 98.8, Stephen Angove 
26, 98.7, Richard Smith 
27, 98.7, michael wiekamp 
28, 98.6, George Koch 
29, 98.6, George Bearden 
30, 98.5, Gregg Lauderbaugh 
31, 98.5, Ronnie Haislip 
32, 98.4, Ken Ogden 
33, 98.4, Clarke Holland 
34, 98.3, David Walters 
35, 98.2, Steven Becker 
36, 98.2, Robert Caslin 
37, 98.2, Rod Hamby 
38, 98.1, Brad Moore 
39, 98.0, Kym Roach 
40, 98.0, Kevin Cunningham 
41, 98.0, John Smith 
42, 97.9, Jim Koch 
43, 97.9, alan carter 
44, 97.8, Mark Landry 
45, 97.8, Donald King 
46, 97.7, Barry Emerson 
47, 97.7, Pat Havard 
48, 97.6, Paul Keller 
49, 97.5, Scott Hassell 
50, 97.5, Jeff Sapp 
51, 97.5, Terry Howard 
52, 97.4, Larry Kaleff 
53, 97.4, Terry Dickman 
54, 97.3, Bill Johnston 
55, 97.2, Steve Lane 
56, 97.2, Tom Thebeau 
57, 97.2, Tommaso Artale 
58, 97.1, James Brown 
59, 97.0, Don Repole 
60, 97.0, Freddie Cherry 
61, 97.0, Kenneth Trahan 
62, 96.9, Bill Morris 
63, 96.9, Richard Thomas 
64, 96.8, Ernie Parizeau 
65, 96.8, Kevin Barney 
66, 96.7, Bill Ohlsen 
67, 96.7, Brent Chomos 
68, 96.6, Daniel Miller 
69, 96.5, Tommy Tillman 
70, 96.5, rory jones 
71, 96.5, Greg Clewis 
72, 96.4, John Ford 
73, 96.4, Donald Mattern 
74, 96.3, Clyde Mihalakis 
75, 96.2, Donald Vazquez 
76, 96.2, Keith Costello 
77, 96.2, Steve Mann 
78, 96.1, Bradley Oliver 
79, 96.0, John Waklais 
80, 96.0, Roy Heine 
81, 96.0, Larry Phillips 
82, 95.9, Gary Davis 
83, 95.9, Jack Laurendeau Jr.
84, 95.8, Thomas Izbicki 
85, 95.8, Woody Woodall 
86, 95.7, Charles Sullivan 
87, 95.7, Peter Pohl 
88, 95.6, Jan Cie\u015blik 
89, 95.5, Gregory Giordano 
90, 95.5, Mark Peters 
91, 95.5, Hugo Braun 
92, 95.4, Michael Dellangelo 
93, 95.3, Gary McKechnie 
94, 95.3, Robert Yoho 
95, 95.2, Russ Carlson 
96, 95.2, Bill Hall 
97, 95.2, Jim Ferraro 
98, 95.1, John Llewellyn 
99, 95.0, Brian Palmer 
100, 95.0, Rocky Deaver 
101, 95.0, Jim Peeper 
102, 94.9, George Burdick 
103, 94.8, Anders Olsson 
104, 94.8, Marshall Delk 
105, 94.8, Peter Bowler 
106, 94.7, Mike Allen 
107, 94.7, Hank Berger 
108, 94.6, Dennis Areias 
109, 94.5, Rick Cheverton 
110, 94.5, francois martel 
111, 94.5, Jeff Stanfield 
112, 94.4, Jim Mall 
113, 94.3, Arthur Astorino 
114, 94.3, Paul Clinton 
115, 94.2, Daniel Walsh 
116, 94.2, Robert Rogers 
117, 94.2, Hugh Ross 
118, 94.1, Greg Gast 
119, 94.0, jerry wilson 
120, 94.0, Roger Zetah 
121, 94.0, Jim Gardner 
122, 93.9, Joe Rogers 
123, 93.8, Tom Rossi 
124, 93.8, Pete Ferraro 
125, 93.8, Anthony Lucas 
126, 93.7, Shane Taylor 
127, 93.7, Bud Cribar 
128, 93.6, Donald Brignac 
129, 93.5, Bruce Lutz 
130, 93.5, Patrick Kenney 
131, 93.5, Joe Granados 
132, 93.4, Rick Sinclair 
133, 93.3, John Sinchok 
